Ref,Val,Package,PosX,PosY,Rot,Side
"ATTINY1627","ATtiny1627-M","QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm",79.160000,-116.320000,0.000000,top
"BATTERY1","1190297","1190297",45.210000,-89.230000,-90.000000,top
"BAT_OUT1","1190297","1190297",70.580000,-132.860000,90.000000,top
"BAT_SENSE1","R_US","R_1206_3216Metric",50.395000,-89.485000,90.000000,top
"C1",".1u","C_0402",51.609000,-117.641400,-90.000000,top
"C2",".1u","C_0402",51.570000,-105.021400,-90.000000,top
"C3",".1u","C_0402",74.600000,-116.300000,180.000000,top
"C4",".1u","C_0402",38.767400,-106.486700,90.000000,top
"C5",".1u","C_0402",43.644200,-106.466100,90.000000,top
"C6",".1u","C_0402",63.702200,-117.879000,180.000000,top
"CVREF1","TBD","C_0402",52.580000,-86.830000,0.000000,top
"C_VC1","680p","C_0402",60.195000,-99.355000,0.000000,top
"C_VC2","12p","C_0402",59.650000,-97.790000,90.000000,top
"C_VC3","47p","C_0402",59.765000,-92.310000,0.000000,top
"C_VHS1","10u","C_0603",65.000000,-122.000000,0.000000,top
"C_Vusb1","22u","C_0603",38.890000,-119.680000,-90.000000,top
"Cbat1","22u","C_0603",54.893200,-108.149400,180.000000,top
"Cboot1","33n","C_0402",55.800000,-115.900000,180.000000,top
"Cldo1","1u","C_0402",58.989000,-114.876400,0.000000,top
"Cldoin1","1u","C_0402",78.630000,-108.750000,180.000000,top
"Cpmid1","1u","C_0402",55.200000,-114.800000,180.000000,top
"Csin1","1u","C_0402",53.594000,-109.416400,180.000000,top
"Cvsys1","22u","CP_Tantalum_EIA-6032-28_Kemet-C",75.230000,-104.910000,90.000000,top
"D1","1N4448WS","D_SOD-323",42.171000,-105.803300,90.000000,top
"D2","1N4448WS","D_SOD-323",40.240600,-105.811900,-90.000000,top
"IC1","LTC1982ES6#TRMPBF","SOT95P280X145-6N",68.750000,-121.040000,180.000000,top
"IC2","LTC3113EDHD#TRPBF","SON50P400X500X80-17N-D",63.660000,-94.130000,-90.000000,top
"J3","UPDI","Pins_1x03_2.54mm_TH",33.480000,-107.440000,90.000000,top
"J4","NTC","Pins_1x02_2.54mm_TH",32.410000,-101.640000,-90.000000,top
"L1","SRP3212A-2R2M","INDC3225X120N",64.190000,-98.710000,180.000000,top
"Lo1","74438324010","74438324010",51.800000,-112.430000,90.000000,top
"Q2","SQS201CENW-T1_GE3","PowerPAK_SO-8_Single",52.830000,-133.180000,180.000000,top
"Q3","IRLML6401","SOT-23",41.450000,-119.830000,180.000000,top
"Q4","SUD09P10-195","TO-252-2",62.800000,-130.450000,90.000000,top
"R1","10k","R_0402",75.290000,-115.000000,180.000000,top
"R2","10k","R_0402",74.912500,-117.865000,-90.000000,top
"R3","5.1k","R_0402",37.700000,-114.135000,90.000000,top
"R4","5.1k","R_0402",38.265000,-117.480000,0.000000,top
"R5","5k","R_0402",59.004000,-115.909000,180.000000,top
"R6","9.82k","R_0402",32.330000,-103.720000,0.000000,top
"R7","10k","R_0402",75.982500,-118.500000,-90.000000,top
"R8","10k","R_0402",83.810000,-115.390000,0.000000,top
"R9","10k","R_0402",83.800000,-116.400000,0.000000,top
"R10","49.9K","R_0402",60.690000,-97.820000,-90.000000,top
"R11","182k","R_0402",60.180000,-100.425000,0.000000,top
"R12","182k","R_0402",60.240000,-95.795000,-90.000000,top
"R13","6.49k","R_0402",60.230000,-93.825000,90.000000,top
"R14","90.9k","R_0402",61.160000,-90.970000,0.000000,top
"R15","TBD","R_0402",55.920000,-88.575000,90.000000,top
"R16","TBD","R_0402",56.980000,-88.580000,-90.000000,top
"R17","10k","R_0402",71.875000,-119.770000,0.000000,top
"R18","10k","R_0402",71.880000,-122.320000,0.000000,top
"R19","10k","R_0402",57.450000,-132.010000,-90.000000,top
"RPilim1","DoNotPlace","R_0402",57.049000,-117.736400,-90.000000,top
"Rdpmt1","R_US","R_0402",59.034000,-116.976400,0.000000,top
"Rpiset1","DoNotPlace","R_0402",57.019000,-105.046400,-90.000000,top
"SOLAR_CELL1","1190297","1190297",45.180000,-126.950000,-90.000000,top
"SOLAR_SENSE1","R_US","R_1206_3216Metric",50.385000,-127.225000,90.000000,top
"U1","BQ24257RGET","RGE24_2P7X2P7_TEX",57.104000,-111.666400,180.000000,top
"U2","AD5280","TSSOP-14_4.4x5mm_P0.65mm",63.730000,-113.350000,90.000000,top
"U3","AMS1117-3.3","SOT223",81.680000,-105.050000,-90.000000,top
"U4","MCP4022-xxxxCH","TSOT-23-6",54.331600,-118.182400,0.000000,top
"U5","MCP4022-xxxxCH","TSOT-23-6",54.310000,-105.650000,0.000000,top
"U8","AD8218xCP","SOP65P490X110-8N",53.460000,-90.830000,90.000000,top
"U9","AD8218xCP","SOP65P490X110-8N",53.505000,-127.115000,90.000000,top
"UART1","CH330N","SOIC-8-1EP_3.9x4.9mm_Pitch1.27mm",41.155000,-111.420000,90.000000,top
"USB-C1","USB_C_Receptacle_USB2.0_14P","USB_C_Receptacle_Palconn_UTC16-G",33.590000,-116.210000,-90.000000,top
"VOUT1","1190297","1190297",70.530000,-95.010000,90.000000,top
