"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R5";"R_0402";1;"5k";;;
2;"C_VHS1";"C_0603";1;"10u";;;
3;"R18,R17,R8,R9,R1,R2,R7,R19";"R_0402";8;"10k";;;
4;"C_VC2";"C_0402";1;"12p";;;
5;"SOLAR_SENSE1,BAT_SENSE1";"R_1206_3216Metric";2;"R_US";;;
6;"USB-C1";"USB_C_Receptacle_Palconn_UTC16-G";1;"USB_C_Receptacle_USB2.0_14P";;;
7;"J4";"Pins_1x02_2.54mm_TH";1;"NTC";;;
8;"J3";"Pins_1x03_2.54mm_TH";1;"UPDI";;;
9;"C2,C5,C4,C1,C3,C6";"C_0402";6;".1u";;;
10;"D2,D1";"D_SOD-323";2;"1N4448WS";;;
11;"Rpiset1,RPilim1";"R_0402";2;"DoNotPlace";;;
12;"R6";"R_0402";1;"9.82k";;;
13;"U1";"RGE24_2P7X2P7_TEX";1;"BQ24257RGET";;;
14;"C_VC3";"C_0402";1;"47p";;;
15;"C_VC1";"C_0402";1;"680p";;;
16;"R4,R3";"R_0402";2;"5.1k";;;
17;"Lo1";"74438324010";1;"74438324010";;;
18;"R12,R11";"R_0402";2;"182k";;;
19;"R10";"R_0402";1;"49.9K";;;
20;"IC2";"SON50P400X500X80-17N-D";1;"LTC3113EDHD#TRPBF";;;
21;"R14";"R_0402";1;"90.9k";;;
22;"Cldo1,Cldoin1,Csin1,Cpmid1";"C_0402";4;"1u";;;
23;"BATTERY1,BAT_OUT1,VOUT1,SOLAR_CELL1";"1190297";4;"1190297";;;
24;"UART1";"SOIC-8-1EP_3.9x4.9mm_Pitch1.27mm";1;"CH330N";;;
25;"Q4";"TO-252-2";1;"SUD09P10-195";;;
26;"U8,U9";"SOP65P490X110-8N";2;"AD8218xCP";;;
27;"R16,R15";"R_0402";2;"TBD";;;
28;"L1";"INDC3225X120N";1;"SRP3212A-2R2M";;;
29;"Q2";"PowerPAK_SO-8_Single";1;"SQS201CENW-T1_GE3";;;
30;"Rdpmt1";"R_0402";1;"R_US";;;
31;"IC1";"SOT95P280X145-6N";1;"LTC1982ES6#TRMPBF";;;
32;"Cboot1";"C_0402";1;"33n";;;
33;"C_Vusb1,Cbat1";"C_0603";2;"22u";;;
34;"U4,U5";"TSOT-23-6";2;"MCP4022-xxxxCH";;;
35;"U3";"SOT223";1;"AMS1117-3.3";;;
36;"Cvsys1";"CP_Tantalum_EIA-6032-28_Kemet-C";1;"22u";;;
37;"Q3";"SOT-23";1;"IRLML6401";;;
38;"CVREF1";"C_0402";1;"TBD";;;
39;"U2";"TSSOP-14_4.4x5mm_P0.65mm";1;"AD5280";;;
40;"R13";"R_0402";1;"6.49k";;;
41;"ATTINY1627";"QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm";1;"ATtiny1627-M";;;
